InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Year,Month,MonthName,Day,Weekday,Week,Date
540046,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2024-03-26 12:51:04,3.96,17821,United Kingdom,71.28,2024,3,Mar 2024,26,Tuesday,13,2024-03-26
536540,22748,POPPY'S PLAYHOUSE KITCHEN,2,2025-01-30 19:47:56,2.24,15788,EIRE,4.48,2025,1,Jan 2025,30,Thursday,5,2025-01-30
538083,23203,JUMBO BAG DOILEY PATTERNS,6,2024-09-24 06:37:47,2.21,14339,United Kingdom,13.26,2024,9,Sep 2024,24,Tuesday,39,2024-09-24
542451,22752,SET 7 BABUSHKA NESTING BOXES,11,2025-01-26 07:48:40,6.93,14823,United Kingdom,76.23,2025,1,Jan 2025,26,Sunday,4,2025-01-26
542284,23298,SPACEBOY LUNCH BOX,7,2025-08-05 19:11:42,2.14,16778,Spain,14.98,2025,8,Aug 2025,5,Tuesday,32,2025-08-05
537926,21034,REX CASH+CARRY JUMBO SHOPPER,10,2025-01-01 20:46:28,1.34,15114,United Kingdom,13.4,2025,1,Jan 2025,1,Wednesday,1,2025-01-01
541088,22699,ROSES REGENCY TEACUP AND SAUCER,10,2025-08-15 15:50:53,3.2,15159,Japan,32.0,2025,8,Aug 2025,15,Friday,33,2025-08-15
540484,22632,HAND WARMER RED POLKA DOT,15,2025-11-15 23:48:27,1.96,14074,Portugal,29.4,2025,11,Nov 2025,15,Saturday,46,2025-11-15
540296,85099B,JUMBO BAG RED RETROSPOT,14,2024-04-01 07:31:38,1.94,15759,United Kingdom,27.16,2024,4,Apr 2024,1,Monday,14,2024-04-01
538773,20725,LUNCH BAG RED RETROSPOT,15,2024-06-24 09:40:43,1.67,13583,Canada,25.05,2024,6,Jun 2024,24,Monday,26,2024-06-24
538215,21212,PACK OF 72 RETROSPOT CAKE CASES,11,2024-08-30 07:14:57,0.53,14506,United Kingdom,5.83,2024,8,Aug 2024,30,Friday,35,2024-08-30
539976,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2025-09-26 09:27:12,1.53,17851,United Kingdom,9.18,2025,9,Sep 2025,26,Friday,39,2025-09-26
538400,84406B,CREAM CUPID HEARTS COAT HANGER,18,2024-06-09 12:03:14,2.72,18105,Netherlands,48.96,2024,6,Jun 2024,9,Sunday,23,2024-06-09
542995,22960,JAM MAKING SET WITH JARS,8,2025-07-14 07:01:03,4.66,15395,Canada,37.28,2025,7,Jul 2025,14,Monday,29,2025-07-14
541305,20727,LUNCH BAG BLACK SKULL,15,2025-03-26 20:25:11,1.7,15280,United Kingdom,25.5,2025,3,Mar 2025,26,Wednesday,13,2025-03-26
539093,71053,WHITE METAL LANTERN,22,2025-08-20 16:52:27,3.66,15873,Germany,80.52,2025,8,Aug 2025,20,Wednesday,34,2025-08-20
539282,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2024-02-04 14:09:54,3.68,12568,United Kingdom,22.08,2024,2,Feb 2024,4,Sunday,5,2024-02-04
537959,20727,LUNCH BAG BLACK SKULL,22,2024-04-11 12:12:58,1.71,15583,EIRE,37.62,2024,4,Apr 2024,11,Thursday,15,2024-04-11
541832,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2024-01-26 04:43:59,2.79,15787,United Kingdom,41.85,2024,1,Jan 2024,26,Friday,4,2024-01-26
539979,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,2025-03-06 01:18:40,4.07,15248,Germany,36.63,2025,3,Mar 2025,6,Thursday,10,2025-03-06
542009,23355,HOT WATER BOTTLE KEEP CALM,17,2024-08-24 03:47:18,4.61,14684,United Kingdom,78.37,2024,8,Aug 2024,24,Saturday,34,2024-08-24
538700,22193,RED DINER WALL CLOCK,2,2025-07-25 11:25:10,8.82,17932,United Kingdom,17.64,2025,7,Jul 2025,25,Friday,30,2025-07-25
538740,22698,PINK REGENCY TEACUP AND SAUCER,11,2024-08-22 22:33:02,2.94,13262,United Kingdom,32.34,2024,8,Aug 2024,22,Thursday,34,2024-08-22
537917,22423,REGENCY CAKESTAND 3 TIER,22,2025-05-08 04:44:36,12.85,14797,Japan,282.7,2025,5,May 2025,8,Thursday,19,2025-05-08
538413,23203,JUMBO BAG DOILEY PATTERNS,8,2025-06-01 11:11:10,2.07,15906,United Kingdom,16.56,2025,6,Jun 2025,1,Sunday,22,2025-06-01
542174,23355,HOT WATER BOTTLE KEEP CALM,1,2025-10-14 23:23:06,4.98,16770,United Kingdom,4.98,2025,10,Oct 2025,14,Tuesday,42,2025-10-14
539476,22960,JAM MAKING SET WITH JARS,12,2025-03-02 09:35:37,4.61,13124,United Kingdom,55.32,2025,3,Mar 2025,2,Sunday,9,2025-03-02
539153,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,19,2025-06-17 06:06:50,4.0,17020,Japan,76.0,2025,6,Jun 2025,17,Tuesday,25,2025-06-17
541273,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2025-11-18 18:29:56,3.78,16090,Belgium,7.56,2025,11,Nov 2025,18,Tuesday,47,2025-11-18
540761,84406B,CREAM CUPID HEARTS COAT HANGER,14,2024-11-24 09:25:53,2.6,15902,Germany,36.4,2024,11,Nov 2024,24,Sunday,47,2024-11-24
540483,22960,JAM MAKING SET WITH JARS,9,2024-10-10 19:41:16,4.41,13359,United Kingdom,39.69,2024,10,Oct 2024,10,Thursday,41,2024-10-10
536806,22698,PINK REGENCY TEACUP AND SAUCER,10,2025-02-07 18:09:52,2.93,15303,United Kingdom,29.3,2025,2,Feb 2025,7,Friday,6,2025-02-07
540628,71053,WHITE METAL LANTERN,16,2024-06-26 08:42:40,3.7,15908,USA,59.2,2024,6,Jun 2024,26,Wednesday,26,2024-06-26
539690,22697,GREEN REGENCY TEACUP AND SAUCER,24,2025-07-03 08:00:10,2.96,13502,United Kingdom,71.04,2025,7,Jul 2025,3,Thursday,27,2025-07-03
538737,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2025-05-03 07:54:42,4.47,16968,EIRE,26.82,2025,5,May 2025,3,Saturday,18,2025-05-03
539787,23298,SPACEBOY LUNCH BOX,12,2025-08-04 07:18:06,1.88,12612,United Kingdom,22.56,2025,8,Aug 2025,4,Monday,32,2025-08-04
537334,22961,JAM MAKING SET PRINTED,8,2024-02-01 01:21:42,1.54,14109,Italy,12.32,2024,2,Feb 2024,1,Thursday,5,2024-02-01
538112,22699,ROSES REGENCY TEACUP AND SAUCER,11,2025-05-05 08:39:39,2.77,17654,United Kingdom,30.47,2025,5,May 2025,5,Monday,19,2025-05-05
542066,23355,HOT WATER BOTTLE KEEP CALM,23,2024-01-25 11:13:59,4.69,16898,United Kingdom,107.87,2024,1,Jan 2024,25,Thursday,4,2024-01-25
541844,22150,3 STRIPEY MICE FELTCRAFT,23,2025-05-13 19:10:15,3.74,13942,United Kingdom,86.02,2025,5,May 2025,13,Tuesday,20,2025-05-13
539728,20728,LUNCH BAG CARS BLUE,7,2024-06-25 09:28:32,1.49,16964,United Kingdom,10.43,2024,6,Jun 2024,25,Tuesday,26,2024-06-25
541462,21212,PACK OF 72 RETROSPOT CAKE CASES,18,2024-06-29 05:31:56,0.52,15634,Belgium,9.36,2024,6,Jun 2024,29,Saturday,26,2024-06-29
538689,22193,RED DINER WALL CLOCK,12,2025-11-22 13:26:40,8.38,18275,United Kingdom,100.56,2025,11,Nov 2025,22,Saturday,47,2025-11-22
539291,21034,REX CASH+CARRY JUMBO SHOPPER,17,2024-06-16 04:09:35,1.31,15586,United Kingdom,22.27,2024,6,Jun 2024,16,Sunday,24,2024-06-16
538925,20725,LUNCH BAG RED RETROSPOT,10,2025-04-17 13:16:01,1.68,14913,France,16.8,2025,4,Apr 2025,17,Thursday,16,2025-04-17
540649,20728,LUNCH BAG CARS BLUE,23,2025-06-21 06:47:26,1.78,16932,Belgium,40.94,2025,6,Jun 2025,21,Saturday,25,2025-06-21
537423,20725,LUNCH BAG RED RETROSPOT,2,2024-11-02 20:34:31,1.72,18012,EIRE,3.44,2024,11,Nov 2024,2,Saturday,44,2024-11-02
537058,22150,3 STRIPEY MICE FELTCRAFT,24,2024-09-25 09:30:59,4.06,17790,Finland,97.44,2024,9,Sep 2024,25,Wednesday,39,2024-09-25
542337,22697,GREEN REGENCY TEACUP AND SAUCER,24,2024-08-01 07:16:26,2.73,15001,United Kingdom,65.52,2024,8,Aug 2024,1,Thursday,31,2024-08-01
538748,21034,REX CASH+CARRY JUMBO SHOPPER,9,2025-03-22 06:39:43,1.13,17544,United Kingdom,10.17,2025,3,Mar 2025,22,Saturday,12,2025-03-22
537603,23203,JUMBO BAG DOILEY PATTERNS,6,2025-05-10 14:46:46,2.19,15312,United Kingdom,13.14,2025,5,May 2025,10,Saturday,19,2025-05-10
537656,71053,WHITE METAL LANTERN,5,2024-01-26 08:45:18,3.64,12826,Germany,18.2,2024,1,Jan 2024,26,Friday,4,2024-01-26
540287,84978,HANGING HEART JAR T-LIGHT HOLDER,14,2024-01-25 15:09:47,1.32,17266,United Kingdom,18.48,2024,1,Jan 2024,25,Thursday,4,2024-01-25
543616,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2024-03-06 04:14:47,4.1,14100,Switzerland,41.0,2024,3,Mar 2024,6,Wednesday,10,2024-03-06
537011,22193,RED DINER WALL CLOCK,3,2025-06-25 15:06:21,8.67,12480,United Kingdom,26.01,2025,6,Jun 2025,25,Wednesday,26,2025-06-25
540822,22748,POPPY'S PLAYHOUSE KITCHEN,6,2024-07-15 17:47:51,2.27,15343,Netherlands,13.62,2024,7,Jul 2024,15,Monday,29,2024-07-15
543497,23203,JUMBO BAG DOILEY PATTERNS,5,2025-09-09 15:11:46,2.04,14797,France,10.2,2025,9,Sep 2025,9,Tuesday,37,2025-09-09
542737,21212,PACK OF 72 RETROSPOT CAKE CASES,12,2024-03-15 09:17:04,0.57,13032,United Kingdom,6.84,2024,3,Mar 2024,15,Friday,11,2024-03-15
543226,22961,JAM MAKING SET PRINTED,5,2024-10-02 03:26:40,1.31,13096,Germany,6.55,2024,10,Oct 2024,2,Wednesday,40,2024-10-02
541226,22423,REGENCY CAKESTAND 3 TIER,22,2024-07-14 05:07:44,11.82,12857,United Kingdom,260.04,2024,7,Jul 2024,14,Sunday,28,2024-07-14
542210,22383,LUNCH BAG SUKI DESIGN,15,2025-01-30 13:56:23,1.67,15796,Portugal,25.05,2025,1,Jan 2025,30,Thursday,5,2025-01-30
539900,85099B,JUMBO BAG RED RETROSPOT,8,2024-06-23 22:25:58,2.0,13488,Switzerland,16.0,2024,6,Jun 2024,23,Sunday,25,2024-06-23
540600,22960,JAM MAKING SET WITH JARS,23,2024-08-15 10:03:31,4.14,16270,United Kingdom,95.22,2024,8,Aug 2024,15,Thursday,33,2024-08-15
540945,21730,GLASS STAR FROSTED T-LIGHT HOLDER,20,2024-07-05 06:08:49,3.84,17249,United Kingdom,76.8,2024,7,Jul 2024,5,Friday,27,2024-07-05
540721,22752,SET 7 BABUSHKA NESTING BOXES,19,2025-09-06 12:09:31,7.82,16605,Belgium,148.58,2025,9,Sep 2025,6,Saturday,36,2025-09-06
540331,21034,REX CASH+CARRY JUMBO SHOPPER,3,2025-01-07 04:43:17,1.27,14355,Denmark,3.81,2025,1,Jan 2025,7,Tuesday,2,2025-01-07
541255,22698,PINK REGENCY TEACUP AND SAUCER,1,2024-10-31 09:10:35,2.85,15902,United Kingdom,2.85,2024,10,Oct 2024,31,Thursday,44,2024-10-31
536408,22752,SET 7 BABUSHKA NESTING BOXES,8,2024-04-21 00:02:54,7.82,16558,Spain,62.56,2024,4,Apr 2024,21,Sunday,16,2024-04-21
538927,71053,WHITE METAL LANTERN,21,2024-09-08 11:20:05,3.24,12799,Italy,68.04,2024,9,Sep 2024,8,Sunday,36,2024-09-08
541190,20727,LUNCH BAG BLACK SKULL,23,2025-06-14 17:43:22,1.66,17997,Netherlands,38.18,2025,6,Jun 2025,14,Saturday,24,2025-06-14
541611,23355,HOT WATER BOTTLE KEEP CALM,12,2024-12-02 05:15:04,4.76,12654,United Kingdom,57.12,2024,12,Dec 2024,2,Monday,49,2024-12-02
536742,22752,SET 7 BABUSHKA NESTING BOXES,20,2025-08-15 08:41:58,8.25,17932,Canada,165.0,2025,8,Aug 2025,15,Friday,33,2025-08-15
538211,22961,JAM MAKING SET PRINTED,8,2024-01-17 00:58:48,1.56,12978,Spain,12.48,2024,1,Jan 2024,17,Wednesday,3,2024-01-17
542045,22699,ROSES REGENCY TEACUP AND SAUCER,19,2025-09-13 19:07:43,2.93,13583,Germany,55.67,2025,9,Sep 2025,13,Saturday,37,2025-09-13
537737,20725,LUNCH BAG RED RETROSPOT,15,2025-04-06 02:57:16,1.72,14822,France,25.8,2025,4,Apr 2025,6,Sunday,14,2025-04-06
536445,22748,POPPY'S PLAYHOUSE KITCHEN,7,2024-09-17 07:28:35,2.08,17911,EIRE,14.56,2024,9,Sep 2024,17,Tuesday,38,2024-09-17
539211,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2024-11-01 17:00:39,4.08,14249,United Kingdom,97.92,2024,11,Nov 2024,1,Friday,44,2024-11-01
542000,22745,POPPY'S PLAYHOUSE BEDROOM,4,2025-11-24 02:34:30,1.98,12847,United Kingdom,7.92,2025,11,Nov 2025,24,Monday,48,2025-11-24
538528,22748,POPPY'S PLAYHOUSE KITCHEN,5,2025-10-07 16:56:59,2.05,16606,United Kingdom,10.25,2025,10,Oct 2025,7,Tuesday,41,2025-10-07
542009,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2025-08-09 21:05:01,4.21,16325,United Kingdom,33.68,2025,8,Aug 2025,9,Saturday,32,2025-08-09
539678,22752,SET 7 BABUSHKA NESTING BOXES,3,2025-06-12 00:12:18,7.62,14993,Spain,22.86,2025,6,Jun 2025,12,Thursday,24,2025-06-12
537235,84978,HANGING HEART JAR T-LIGHT HOLDER,10,2024-05-16 19:00:32,1.33,15303,Norway,13.3,2024,5,May 2024,16,Thursday,20,2024-05-16
540577,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-01-16 03:23:48,2.68,15887,Germany,8.04,2024,1,Jan 2024,16,Tuesday,3,2024-01-16
537373,23298,SPACEBOY LUNCH BOX,5,2025-04-13 07:26:12,1.87,12908,Finland,9.35,2025,4,Apr 2025,13,Sunday,15,2025-04-13
540618,20727,LUNCH BAG BLACK SKULL,22,2024-01-12 17:49:40,1.5,18060,United Kingdom,33.0,2024,1,Jan 2024,12,Friday,2,2024-01-12
537996,85099B,JUMBO BAG RED RETROSPOT,9,2024-07-14 00:39:46,2.18,17653,France,19.62,2024,7,Jul 2024,14,Sunday,28,2024-07-14
538566,22960,JAM MAKING SET WITH JARS,20,2025-10-11 23:04:44,4.08,14307,United Kingdom,81.6,2025,10,Oct 2025,11,Saturday,41,2025-10-11
538643,22633,HAND WARMER UNION JACK,2,2024-08-05 23:30:26,2.03,15063,France,4.06,2024,8,Aug 2024,5,Monday,32,2024-08-05
538833,71053,WHITE METAL LANTERN,3,2025-03-27 18:19:18,3.27,13395,Denmark,9.81,2025,3,Mar 2025,27,Thursday,13,2025-03-27
537783,22961,JAM MAKING SET PRINTED,22,2024-04-19 15:27:59,1.37,14966,United Kingdom,30.14,2024,4,Apr 2024,19,Friday,16,2024-04-19
543185,22752,SET 7 BABUSHKA NESTING BOXES,16,2024-02-22 16:44:56,8.03,17840,United Kingdom,128.48,2024,2,Feb 2024,22,Thursday,8,2024-02-22
540382,22423,REGENCY CAKESTAND 3 TIER,6,2025-04-01 08:31:30,12.82,16535,Switzerland,76.92,2025,4,Apr 2025,1,Tuesday,14,2025-04-01
539408,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2024-01-17 04:16:24,3.61,14254,Netherlands,14.44,2024,1,Jan 2024,17,Wednesday,3,2024-01-17
537397,23203,JUMBO BAG DOILEY PATTERNS,24,2024-07-02 03:30:35,1.96,18057,United Kingdom,47.04,2024,7,Jul 2024,2,Tuesday,27,2024-07-02
542198,23203,JUMBO BAG DOILEY PATTERNS,14,2024-03-04 15:40:10,1.87,15252,Germany,26.18,2024,3,Mar 2024,4,Monday,10,2024-03-04
542272,22697,GREEN REGENCY TEACUP AND SAUCER,5,2024-10-24 09:20:31,2.96,14032,United Kingdom,14.8,2024,10,Oct 2024,24,Thursday,43,2024-10-24
542946,22698,PINK REGENCY TEACUP AND SAUCER,1,2024-09-03 01:34:12,3.19,17643,United Kingdom,3.19,2024,9,Sep 2024,3,Tuesday,36,2024-09-03
538508,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2025-06-08 02:22:43,3.97,17459,Netherlands,7.94,2025,6,Jun 2025,8,Sunday,23,2025-06-08
542319,84029E,RED WOOLLY HOTTIE WHITE HEART,15,2024-08-11 02:13:55,4.04,15173,United Kingdom,60.6,2024,8,Aug 2024,11,Sunday,32,2024-08-11
538979,22752,SET 7 BABUSHKA NESTING BOXES,7,2024-04-08 04:46:05,8.33,14328,United Kingdom,58.31,2024,4,Apr 2024,8,Monday,15,2024-04-08
543412,22193,RED DINER WALL CLOCK,9,2025-07-02 05:30:09,8.2,14990,Germany,73.8,2025,7,Jul 2025,2,Wednesday,27,2025-07-02
538683,22632,HAND WARMER RED POLKA DOT,9,2025-03-24 01:33:41,1.7,14760,United Kingdom,15.3,2025,3,Mar 2025,24,Monday,13,2025-03-24
537598,84879,ASSORTED COLOUR BIRD ORNAMENT,21,2024-02-13 23:20:38,1.63,16528,Germany,34.23,2024,2,Feb 2024,13,Tuesday,7,2024-02-13
537166,23298,SPACEBOY LUNCH BOX,19,2024-04-11 11:21:29,2.14,14249,United Kingdom,40.66,2024,4,Apr 2024,11,Thursday,15,2024-04-11
537990,23298,SPACEBOY LUNCH BOX,3,2024-07-18 02:04:47,1.8,15273,Belgium,5.4,2024,7,Jul 2024,18,Thursday,29,2024-07-18
541937,23203,JUMBO BAG DOILEY PATTERNS,19,2024-06-14 15:03:33,1.92,18060,Belgium,36.48,2024,6,Jun 2024,14,Friday,24,2024-06-14
541968,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2024-05-20 03:01:57,1.78,14786,Singapore,5.34,2024,5,May 2024,20,Monday,21,2024-05-20
543503,85099B,JUMBO BAG RED RETROSPOT,4,2024-01-14 05:40:09,2.15,13396,United Kingdom,8.6,2024,1,Jan 2024,14,Sunday,2,2024-01-14
539589,23203,JUMBO BAG DOILEY PATTERNS,1,2024-01-29 02:46:50,1.91,17253,United Kingdom,1.91,2024,1,Jan 2024,29,Monday,5,2024-01-29
537583,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2025-01-04 03:59:13,0.55,15320,United Kingdom,4.4,2025,1,Jan 2025,4,Saturday,1,2025-01-04
542445,22961,JAM MAKING SET PRINTED,14,2024-03-13 11:35:14,1.46,13396,United Kingdom,20.44,2024,3,Mar 2024,13,Wednesday,11,2024-03-13
539661,22960,JAM MAKING SET WITH JARS,11,2024-11-30 09:53:45,4.26,16088,United Kingdom,46.86,2024,11,Nov 2024,30,Saturday,48,2024-11-30
537275,22633,HAND WARMER UNION JACK,22,2024-12-29 12:04:24,1.85,18243,Germany,40.7,2024,12,Dec 2024,29,Sunday,52,2024-12-29
542286,84978,HANGING HEART JAR T-LIGHT HOLDER,15,2024-05-16 14:39:34,1.46,13383,Belgium,21.9,2024,5,May 2024,16,Thursday,20,2024-05-16
542268,47566,PARTY BUNTING,5,2025-04-14 01:03:14,5.36,13911,Canada,26.8,2025,4,Apr 2025,14,Monday,16,2025-04-14
537152,22423,REGENCY CAKESTAND 3 TIER,7,2024-06-30 19:40:05,12.01,16610,Spain,84.07,2024,6,Jun 2024,30,Sunday,26,2024-06-30
539827,23298,SPACEBOY LUNCH BOX,20,2024-09-06 18:30:02,1.86,16778,Sweden,37.2,2024,9,Sep 2024,6,Friday,36,2024-09-06
541156,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2024-05-18 12:22:29,1.53,16284,United Kingdom,15.3,2024,5,May 2024,18,Saturday,20,2024-05-18
542963,22961,JAM MAKING SET PRINTED,9,2024-01-19 05:01:45,1.44,13620,Finland,12.96,2024,1,Jan 2024,19,Friday,3,2024-01-19
542890,20727,LUNCH BAG BLACK SKULL,22,2025-09-20 12:20:27,1.73,13523,United Kingdom,38.06,2025,9,Sep 2025,20,Saturday,38,2025-09-20
536740,21212,PACK OF 72 RETROSPOT CAKE CASES,21,2025-05-26 20:05:45,0.55,14668,United Kingdom,11.55,2025,5,May 2025,26,Monday,22,2025-05-26
540850,22193,RED DINER WALL CLOCK,4,2024-06-09 00:02:00,7.97,18044,Finland,31.88,2024,6,Jun 2024,9,Sunday,23,2024-06-09
541291,23355,HOT WATER BOTTLE KEEP CALM,20,2025-06-09 04:16:33,4.51,15857,Germany,90.2,2025,6,Jun 2025,9,Monday,24,2025-06-09
541269,23298,SPACEBOY LUNCH BOX,24,2024-03-27 14:28:59,1.94,17708,Denmark,46.56,2024,3,Mar 2024,27,Wednesday,13,2024-03-27
538428,71053,WHITE METAL LANTERN,20,2025-02-16 14:44:12,3.56,15513,United Kingdom,71.2,2025,2,Feb 2025,16,Sunday,7,2025-02-16
540677,22960,JAM MAKING SET WITH JARS,21,2025-02-18 18:10:06,4.24,12439,United Kingdom,89.04,2025,2,Feb 2025,18,Tuesday,8,2025-02-18
537518,22748,POPPY'S PLAYHOUSE KITCHEN,20,2025-06-21 15:02:40,2.2,17177,United Kingdom,44.0,2025,6,Jun 2025,21,Saturday,25,2025-06-21
538396,20725,LUNCH BAG RED RETROSPOT,23,2024-07-29 15:27:56,1.64,15400,United Kingdom,37.72,2024,7,Jul 2024,29,Monday,31,2024-07-29
536542,22961,JAM MAKING SET PRINTED,17,2024-01-04 15:35:59,1.34,15395,EIRE,22.78,2024,1,Jan 2024,4,Thursday,1,2024-01-04
543084,20728,LUNCH BAG CARS BLUE,8,2025-03-19 01:00:19,1.51,13352,USA,12.08,2025,3,Mar 2025,19,Wednesday,12,2025-03-19
541631,22193,RED DINER WALL CLOCK,16,2024-10-15 00:02:05,7.94,18090,Germany,127.04,2024,10,Oct 2024,15,Tuesday,42,2024-10-15
542044,22960,JAM MAKING SET WITH JARS,4,2024-07-14 06:15:39,4.17,17743,Finland,16.68,2024,7,Jul 2024,14,Sunday,28,2024-07-14
542804,71053,WHITE METAL LANTERN,16,2025-09-01 17:03:03,3.19,12675,United Kingdom,51.04,2025,9,Sep 2025,1,Monday,36,2025-09-01
541169,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,2025-05-25 05:16:30,3.83,18068,Sweden,19.15,2025,5,May 2025,25,Sunday,21,2025-05-25
541007,22383,LUNCH BAG SUKI DESIGN,21,2024-01-04 14:32:47,1.59,16234,United Kingdom,33.39,2024,1,Jan 2024,4,Thursday,1,2024-01-04
536642,22752,SET 7 BABUSHKA NESTING BOXES,20,2025-07-21 02:11:16,8.01,13492,Netherlands,160.2,2025,7,Jul 2025,21,Monday,30,2025-07-21
536697,20725,LUNCH BAG RED RETROSPOT,2,2024-11-02 20:48:43,1.55,14023,United Kingdom,3.1,2024,11,Nov 2024,2,Saturday,44,2024-11-02
536365,22633,HAND WARMER UNION JACK,22,2024-08-24 17:53:11,1.8,14023,United Kingdom,39.6,2024,8,Aug 2024,24,Saturday,34,2024-08-24
538519,22697,GREEN REGENCY TEACUP AND SAUCER,2,2024-08-04 14:58:40,2.69,16075,EIRE,5.38,2024,8,Aug 2024,4,Sunday,31,2024-08-04
538336,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2024-05-18 06:14:17,2.78,18194,United Kingdom,52.82,2024,5,May 2024,18,Saturday,20,2024-05-18
536615,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17,2025-05-15 10:19:16,3.58,13523,United Kingdom,60.86,2025,5,May 2025,15,Thursday,20,2025-05-15
540296,84879,ASSORTED COLOUR BIRD ORNAMENT,20,2025-10-15 22:02:52,1.58,15170,Singapore,31.6,2025,10,Oct 2025,15,Wednesday,42,2025-10-15
538635,22193,RED DINER WALL CLOCK,10,2025-11-25 03:15:34,8.49,15280,United Kingdom,84.9,2025,11,Nov 2025,25,Tuesday,48,2025-11-25
541516,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15,2025-10-12 19:23:59,3.97,17148,United Kingdom,59.55,2025,10,Oct 2025,12,Sunday,41,2025-10-12
541260,22748,POPPY'S PLAYHOUSE KITCHEN,23,2025-08-13 23:17:46,2.14,13542,United Kingdom,49.22,2025,8,Aug 2025,13,Wednesday,33,2025-08-13
543621,21770,TOADSTOOL LED NIGHT LIGHT,23,2024-10-31 16:38:49,3.59,17004,Germany,82.57,2024,10,Oct 2024,31,Thursday,44,2024-10-31
538043,22960,JAM MAKING SET WITH JARS,1,2025-07-18 03:25:07,4.21,14931,EIRE,4.21,2025,7,Jul 2025,18,Friday,29,2025-07-18
541068,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2025-11-18 16:34:49,2.31,13117,Switzerland,32.34,2025,11,Nov 2025,18,Tuesday,47,2025-11-18
538702,22699,ROSES REGENCY TEACUP AND SAUCER,23,2024-12-12 05:03:42,3.11,14107,United Kingdom,71.53,2024,12,Dec 2024,12,Thursday,50,2024-12-12
540319,47566,PARTY BUNTING,9,2024-08-04 20:14:13,4.83,13955,United Kingdom,43.47,2024,8,Aug 2024,4,Sunday,31,2024-08-04
