InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538112,22699,ROSES REGENCY TEACUP AND SAUCER,11,2025-05-05 08:39:39,2.77,17654.0,United Kingdom
542066,23355,HOT WATER BOTTLE KEEP CALM,23,2024-01-25 11:13:59,4.69,16898.0,United Kingdom
541844,22150,3 STRIPEY MICE FELTCRAFT,23,2025-05-13 19:10:15,3.74,13942.0,United Kingdom
539728,20728,LUNCH BAG CARS BLUE,7,2024-06-25 09:28:32,1.49,16964.0,United Kingdom
541462,21212,PACK OF 72 RETROSPOT CAKE CASES,18,2024-06-29 05:31:56,0.52,15634.0,Belgium
538689,22193,RED DINER WALL CLOCK,12,2025-11-22 13:26:40,8.38,18275.0,United Kingdom
539291,21034,REX CASH+CARRY JUMBO SHOPPER,17,2024-06-16 04:09:35,1.31,15586.0,United Kingdom
538925,20725,LUNCH BAG RED RETROSPOT,10,2025-04-17 13:16:01,1.68,14913.0,France
540649,20728,LUNCH BAG CARS BLUE,23,2025-06-21 06:47:26,1.78,16932.0,Belgium
537423,20725,LUNCH BAG RED RETROSPOT,2,2024-11-02 20:34:31,1.72,18012.0,EIRE
537058,22150,3 STRIPEY MICE FELTCRAFT,24,2024-09-25 09:30:59,4.06,17790.0,Finland
542337,22697,GREEN REGENCY TEACUP AND SAUCER,24,2024-08-01 07:16:26,2.73,15001.0,United Kingdom
538748,21034,REX CASH+CARRY JUMBO SHOPPER,9,2025-03-22 06:39:43,1.13,17544.0,United Kingdom
537603,23203,JUMBO BAG DOILEY PATTERNS,6,2025-05-10 14:46:46,2.19,15312.0,United Kingdom
537656,71053,WHITE METAL LANTERN,5,2024-01-26 08:45:18,3.64,12826.0,Germany
540287,84978,HANGING HEART JAR T-LIGHT HOLDER,14,2024-01-25 15:09:47,1.32,17266.0,United Kingdom
543616,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2024-03-06 04:14:47,4.1,14100.0,Switzerland
537011,22193,RED DINER WALL CLOCK,3,2025-06-25 15:06:21,8.67,12480.0,United Kingdom
540822,22748,POPPY'S PLAYHOUSE KITCHEN,6,2024-07-15 17:47:51,2.27,15343.0,Netherlands
543497,23203,JUMBO BAG DOILEY PATTERNS,5,2025-09-09 15:11:46,2.04,14797.0,France
542737,21212,PACK OF 72 RETROSPOT CAKE CASES,12,2024-03-15 09:17:04,0.57,13032.0,United Kingdom
543226,22961,JAM MAKING SET PRINTED,5,2024-10-02 03:26:40,1.31,13096.0,Germany
541226,22423,REGENCY CAKESTAND 3 TIER,22,2024-07-14 05:07:44,11.82,12857.0,United Kingdom
542210,22383,LUNCH BAG SUKI DESIGN,15,2025-01-30 13:56:23,1.67,15796.0,Portugal
539900,85099B,JUMBO BAG RED RETROSPOT,8,2024-06-23 22:25:58,2.0,13488.0,Switzerland
540600,22960,JAM MAKING SET WITH JARS,23,2024-08-15 10:03:31,4.14,16270.0,United Kingdom
540945,21730,GLASS STAR FROSTED T-LIGHT HOLDER,20,2024-07-05 06:08:49,3.84,17249.0,United Kingdom
540721,22752,SET 7 BABUSHKA NESTING BOXES,19,2025-09-06 12:09:31,7.82,16605.0,Belgium
540331,21034,REX CASH+CARRY JUMBO SHOPPER,3,2025-01-07 04:43:17,1.27,14355.0,Denmark
541255,22698,PINK REGENCY TEACUP AND SAUCER,1,2024-10-31 09:10:35,2.85,15902.0,United Kingdom
536408,22752,SET 7 BABUSHKA NESTING BOXES,8,2024-04-21 00:02:54,7.82,16558.0,Spain
538927,71053,WHITE METAL LANTERN,21,2024-09-08 11:20:05,3.24,12799.0,Italy
541190,20727,LUNCH BAG BLACK SKULL,23,2025-06-14 17:43:22,1.66,17997.0,Netherlands
541611,23355,HOT WATER BOTTLE KEEP CALM,12,2024-12-02 05:15:04,4.76,12654.0,United Kingdom
536742,22752,SET 7 BABUSHKA NESTING BOXES,20,2025-08-15 08:41:58,8.25,17932.0,Canada
538211,22961,JAM MAKING SET PRINTED,8,2024-01-17 00:58:48,1.56,12978.0,Spain
542045,22699,ROSES REGENCY TEACUP AND SAUCER,19,2025-09-13 19:07:43,2.93,13583.0,Germany
537737,20725,LUNCH BAG RED RETROSPOT,15,2025-04-06 02:57:16,1.72,14822.0,France
536445,22748,POPPY'S PLAYHOUSE KITCHEN,7,2024-09-17 07:28:35,2.08,17911.0,EIRE
539211,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2024-11-01 17:00:39,4.08,14249.0,United Kingdom
542000,22745,POPPY'S PLAYHOUSE BEDROOM,4,2025-11-24 02:34:30,1.98,12847.0,United Kingdom
541303,21931,JUMBO STORAGE BAG SUKI,7,2025-07-11 11:01:15,2.24,,United Kingdom
538528,22748,POPPY'S PLAYHOUSE KITCHEN,5,2025-10-07 16:56:59,2.05,16606.0,United Kingdom
542009,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2025-08-09 21:05:01,4.21,16325.0,United Kingdom
539678,22752,SET 7 BABUSHKA NESTING BOXES,3,2025-06-12 00:12:18,7.62,14993.0,Spain
537235,84978,HANGING HEART JAR T-LIGHT HOLDER,10,2024-05-16 19:00:32,1.33,15303.0,Norway
540577,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-01-16 03:23:48,2.68,15887.0,Germany
537373,23298,SPACEBOY LUNCH BOX,5,2025-04-13 07:26:12,1.87,12908.0,Finland
540618,20727,LUNCH BAG BLACK SKULL,22,2024-01-12 17:49:40,1.5,18060.0,United Kingdom
537996,85099B,JUMBO BAG RED RETROSPOT,9,2024-07-14 00:39:46,2.18,17653.0,France
538566,22960,JAM MAKING SET WITH JARS,20,2025-10-11 23:04:44,4.08,14307.0,United Kingdom
538643,22633,HAND WARMER UNION JACK,2,2024-08-05 23:30:26,2.03,15063.0,France
538833,71053,WHITE METAL LANTERN,3,2025-03-27 18:19:18,3.27,13395.0,Denmark
537783,22961,JAM MAKING SET PRINTED,22,2024-04-19 15:27:59,1.37,14966.0,United Kingdom
543185,22752,SET 7 BABUSHKA NESTING BOXES,16,2024-02-22 16:44:56,8.03,17840.0,United Kingdom
540382,22423,REGENCY CAKESTAND 3 TIER,6,2025-04-01 08:31:30,12.82,16535.0,Switzerland
539408,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2024-01-17 04:16:24,3.61,14254.0,Netherlands
537397,23203,JUMBO BAG DOILEY PATTERNS,24,2024-07-02 03:30:35,1.96,18057.0,United Kingdom
542198,23203,JUMBO BAG DOILEY PATTERNS,14,2024-03-04 15:40:10,1.87,15252.0,Germany
542272,22697,GREEN REGENCY TEACUP AND SAUCER,5,2024-10-24 09:20:31,2.96,14032.0,United Kingdom
542946,22698,PINK REGENCY TEACUP AND SAUCER,1,2024-09-03 01:34:12,3.19,17643.0,United Kingdom
538508,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2025-06-08 02:22:43,3.97,17459.0,Netherlands
542319,84029E,RED WOOLLY HOTTIE WHITE HEART,15,2024-08-11 02:13:55,4.04,15173.0,United Kingdom
538979,22752,SET 7 BABUSHKA NESTING BOXES,7,2024-04-08 04:46:05,8.33,14328.0,United Kingdom
543412,22193,RED DINER WALL CLOCK,9,2025-07-02 05:30:09,8.2,14990.0,Germany
538683,22632,HAND WARMER RED POLKA DOT,9,2025-03-24 01:33:41,1.7,14760.0,United Kingdom
540856,21034,REX CASH+CARRY JUMBO SHOPPER,24,2024-03-16 16:29:19,1.36,,EIRE
537598,84879,ASSORTED COLOUR BIRD ORNAMENT,21,2024-02-13 23:20:38,1.63,16528.0,Germany
537166,23298,SPACEBOY LUNCH BOX,19,2024-04-11 11:21:29,2.14,14249.0,United Kingdom
537990,23298,SPACEBOY LUNCH BOX,3,2024-07-18 02:04:47,1.8,15273.0,Belgium
541937,23203,JUMBO BAG DOILEY PATTERNS,19,2024-06-14 15:03:33,1.92,18060.0,Belgium
541968,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2024-05-20 03:01:57,1.78,14786.0,Singapore
543503,85099B,JUMBO BAG RED RETROSPOT,4,2024-01-14 05:40:09,2.15,13396.0,United Kingdom
539589,23203,JUMBO BAG DOILEY PATTERNS,1,2024-01-29 02:46:50,1.91,17253.0,United Kingdom
537583,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2025-01-04 03:59:13,0.55,15320.0,United Kingdom
542445,22961,JAM MAKING SET PRINTED,14,2024-03-13 11:35:14,1.46,13396.0,United Kingdom
539661,22960,JAM MAKING SET WITH JARS,11,2024-11-30 09:53:45,4.26,16088.0,United Kingdom
537275,22633,HAND WARMER UNION JACK,22,2024-12-29 12:04:24,1.85,18243.0,Germany
542286,84978,HANGING HEART JAR T-LIGHT HOLDER,15,2024-05-16 14:39:34,1.46,13383.0,Belgium
542268,47566,PARTY BUNTING,5,2025-04-14 01:03:14,5.36,13911.0,Canada
537152,22423,REGENCY CAKESTAND 3 TIER,7,2024-06-30 19:40:05,12.01,16610.0,Spain
539827,23298,SPACEBOY LUNCH BOX,20,2024-09-06 18:30:02,1.86,16778.0,Sweden
541156,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2024-05-18 12:22:29,1.53,16284.0,United Kingdom
542963,22961,JAM MAKING SET PRINTED,9,2024-01-19 05:01:45,1.44,13620.0,Finland
542890,20727,LUNCH BAG BLACK SKULL,22,2025-09-20 12:20:27,1.73,13523.0,United Kingdom
536740,21212,PACK OF 72 RETROSPOT CAKE CASES,21,2025-05-26 20:05:45,0.55,14668.0,United Kingdom
540850,22193,RED DINER WALL CLOCK,4,2024-06-09 00:02:00,7.97,18044.0,Finland
541291,23355,HOT WATER BOTTLE KEEP CALM,20,2025-06-09 04:16:33,4.51,15857.0,Germany
541269,23298,SPACEBOY LUNCH BOX,24,2024-03-27 14:28:59,1.94,17708.0,Denmark
538428,71053,WHITE METAL LANTERN,20,2025-02-16 14:44:12,3.56,15513.0,United Kingdom
540677,22960,JAM MAKING SET WITH JARS,21,2025-02-18 18:10:06,4.24,12439.0,United Kingdom
537518,22748,POPPY'S PLAYHOUSE KITCHEN,20,2025-06-21 15:02:40,2.2,17177.0,United Kingdom
538396,20725,LUNCH BAG RED RETROSPOT,23,2024-07-29 15:27:56,1.64,15400.0,United Kingdom
536542,22961,JAM MAKING SET PRINTED,17,2024-01-04 15:35:59,1.34,15395.0,EIRE
543084,20728,LUNCH BAG CARS BLUE,8,2025-03-19 01:00:19,1.51,13352.0,USA
541631,22193,RED DINER WALL CLOCK,16,2024-10-15 00:02:05,7.94,18090.0,Germany
C537158,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-18,2025-03-23 15:10:17,4.56,13694.0,Switzerland
536793,20727,LUNCH BAG BLACK SKULL,10,2024-08-07 22:03:46,1.75,,United Kingdom
542044,22960,JAM MAKING SET WITH JARS,4,2024-07-14 06:15:39,4.17,17743.0,Finland
542804,71053,WHITE METAL LANTERN,16,2025-09-01 17:03:03,3.19,12675.0,United Kingdom
541169,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,2025-05-25 05:16:30,3.83,18068.0,Sweden
541007,22383,LUNCH BAG SUKI DESIGN,21,2024-01-04 14:32:47,1.59,16234.0,United Kingdom
536642,22752,SET 7 BABUSHKA NESTING BOXES,20,2025-07-21 02:11:16,8.01,13492.0,Netherlands
536697,20725,LUNCH BAG RED RETROSPOT,2,2024-11-02 20:48:43,1.55,14023.0,United Kingdom
536365,22633,HAND WARMER UNION JACK,22,2024-08-24 17:53:11,1.8,14023.0,United Kingdom
538519,22697,GREEN REGENCY TEACUP AND SAUCER,2,2024-08-04 14:58:40,2.69,16075.0,EIRE
C537226,84029E,RED WOOLLY HOTTIE WHITE HEART,-12,2024-11-12 02:41:27,3.46,,Italy
538336,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2024-05-18 06:14:17,2.78,18194.0,United Kingdom
536615,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17,2025-05-15 10:19:16,3.58,13523.0,United Kingdom
540296,84879,ASSORTED COLOUR BIRD ORNAMENT,20,2025-10-15 22:02:52,1.58,15170.0,Singapore
538635,22193,RED DINER WALL CLOCK,10,2025-11-25 03:15:34,8.49,15280.0,United Kingdom
541516,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15,2025-10-12 19:23:59,3.97,17148.0,United Kingdom
541260,22748,POPPY'S PLAYHOUSE KITCHEN,23,2025-08-13 23:17:46,2.14,13542.0,United Kingdom
543621,21770,TOADSTOOL LED NIGHT LIGHT,23,2024-10-31 16:38:49,3.59,17004.0,Germany
538043,22960,JAM MAKING SET WITH JARS,1,2025-07-18 03:25:07,4.21,14931.0,EIRE
541068,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2025-11-18 16:34:49,2.31,13117.0,Switzerland
540704,21212,PACK OF 72 RETROSPOT CAKE CASES,13,2024-06-22 01:40:46,0.59,,Germany
537956,22699,ROSES REGENCY TEACUP AND SAUCER,16,2024-07-19 09:04:49,2.66,,United Kingdom
540372,22150,3 STRIPEY MICE FELTCRAFT,12,2025-05-19 03:54:26,3.87,,United Kingdom
538702,22699,ROSES REGENCY TEACUP AND SAUCER,23,2024-12-12 05:03:42,3.11,14107.0,United Kingdom
540319,47566,PARTY BUNTING,9,2024-08-04 20:14:13,4.83,13955.0,United Kingdom
538244,21730,GLASS STAR FROSTED T-LIGHT HOLDER,22,2025-02-07 09:28:05,4.59,17831.0,United Kingdom
537083,85099B,JUMBO BAG RED RETROSPOT,24,2024-03-04 07:11:02,2.16,13583.0,Germany
541619,20725,LUNCH BAG RED RETROSPOT,24,2025-06-30 04:05:49,1.6,13172.0,United Kingdom
543706,23355,HOT WATER BOTTLE KEEP CALM,14,2025-08-26 14:18:01,4.34,16081.0,United Kingdom
536975,84029E,RED WOOLLY HOTTIE WHITE HEART,18,2024-07-14 21:13:42,4.09,17004.0,France
537319,22748,POPPY'S PLAYHOUSE KITCHEN,20,2024-05-30 11:42:18,2.15,14139.0,United Kingdom
539537,84978,HANGING HEART JAR T-LIGHT HOLDER,3,2025-09-15 06:51:48,1.5,14684.0,United Kingdom
540575,22961,JAM MAKING SET PRINTED,1,2024-03-17 00:28:37,1.53,14896.0,United Kingdom
C538992,47566,PARTY BUNTING,-12,2024-09-30 17:22:10,5.36,14940.0,Denmark
541270,22752,SET 7 BABUSHKA NESTING BOXES,6,2025-11-22 17:59:43,8.27,16493.0,Sweden
543633,21931,JUMBO STORAGE BAG SUKI,11,2025-03-20 03:09:04,2.12,17966.0,Spain
543102,22752,SET 7 BABUSHKA NESTING BOXES,4,2025-06-17 02:34:48,7.03,17177.0,United Kingdom
539679,22423,REGENCY CAKESTAND 3 TIER,11,2024-11-27 17:20:11,13.98,15787.0,United Kingdom
541743,23355,HOT WATER BOTTLE KEEP CALM,4,2025-01-07 14:54:54,4.31,16710.0,Japan
538380,23298,SPACEBOY LUNCH BOX,3,2024-05-11 17:45:45,1.82,16860.0,EIRE
536636,21212,PACK OF 72 RETROSPOT CAKE CASES,22,2025-10-12 12:27:46,0.5,13381.0,United Kingdom
538198,22699,ROSES REGENCY TEACUP AND SAUCER,2,2024-01-17 21:38:30,2.82,16686.0,United Kingdom
540974,22698,PINK REGENCY TEACUP AND SAUCER,3,2025-03-31 05:48:15,3.11,18207.0,USA
538338,22752,SET 7 BABUSHKA NESTING BOXES,17,2024-09-21 15:57:00,7.21,12480.0,EIRE
537229,47566,PARTY BUNTING,9,2024-03-04 04:49:49,4.9,14509.0,United Kingdom
537651,22697,GREEN REGENCY TEACUP AND SAUCER,7,2025-01-28 23:27:01,3.21,,Australia
536681,22697,GREEN REGENCY TEACUP AND SAUCER,23,2024-12-28 10:46:08,2.87,17429.0,United Kingdom
541394,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17,2024-07-22 11:40:33,3.95,16981.0,United Kingdom
541309,22960,JAM MAKING SET WITH JARS,21,2025-06-20 22:46:46,3.92,18243.0,Germany
C536437,20725,LUNCH BAG RED RETROSPOT,-20,2025-03-12 01:51:39,1.52,14918.0,United Kingdom
537278,21931,JUMBO STORAGE BAG SUKI,22,2024-12-27 20:02:55,2.13,12389.0,United Kingdom
537298,47566,PARTY BUNTING,9,2024-07-20 02:31:15,5.39,12602.0,Denmark
542232,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2024-03-03 21:11:41,4.25,17177.0,United Kingdom
539592,71053,WHITE METAL LANTERN,2,2025-08-22 08:49:32,3.31,12866.0,United Kingdom
542144,22699,ROSES REGENCY TEACUP AND SAUCER,16,2025-04-26 02:42:29,2.87,17357.0,Canada
539918,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2024-11-25 06:20:18,0.6,14786.0,Germany
538854,22423,REGENCY CAKESTAND 3 TIER,3,2025-12-05 00:24:54,12.95,17756.0,Germany
537211,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2025-10-14 04:40:35,3.92,14058.0,Canada
542707,22960,JAM MAKING SET WITH JARS,5,2024-04-18 04:32:43,3.98,17197.0,United Kingdom
538796,22748,POPPY'S PLAYHOUSE KITCHEN,3,2024-11-17 22:55:27,2.1,17123.0,United Kingdom
539322,22423,REGENCY CAKESTAND 3 TIER,15,2024-10-02 04:44:18,12.79,13763.0,United Kingdom
539287,84978,HANGING HEART JAR T-LIGHT HOLDER,16,2024-06-10 05:28:12,1.31,17889.0,Canada
537526,22699,ROSES REGENCY TEACUP AND SAUCER,2,2024-07-24 13:20:42,2.91,12419.0,United Kingdom
539894,84978,HANGING HEART JAR T-LIGHT HOLDER,16,2024-04-12 22:14:58,1.57,,United Kingdom
542279,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2024-02-08 04:47:59,4.12,15186.0,United Kingdom
543686,22193,RED DINER WALL CLOCK,24,2024-04-14 17:25:45,7.7,16972.0,Netherlands
542507,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,19,2024-02-22 14:27:06,3.85,18004.0,Sweden
537005,20727,LUNCH BAG BLACK SKULL,3,2025-03-19 03:56:56,1.58,13070.0,Germany
542595,22745,POPPY'S PLAYHOUSE BEDROOM,21,2025-10-25 14:57:09,1.94,17802.0,United Kingdom
538795,22748,POPPY'S PLAYHOUSE KITCHEN,7,2024-10-15 04:29:01,1.95,15450.0,United Kingdom
536394,22383,LUNCH BAG SUKI DESIGN,17,2025-06-01 03:35:15,1.71,16506.0,United Kingdom
543676,22632,HAND WARMER RED POLKA DOT,8,2024-02-27 15:06:35,1.78,16960.0,France
541436,22150,3 STRIPEY MICE FELTCRAFT,14,2025-12-08 06:39:55,3.63,16400.0,United Kingdom
543064,85099B,JUMBO BAG RED RETROSPOT,21,2025-03-08 18:36:05,2.22,,France
538435,22632,HAND WARMER RED POLKA DOT,10,2025-12-08 23:18:23,1.86,14546.0,Spain
541669,22752,SET 7 BABUSHKA NESTING BOXES,2,2025-11-08 17:55:44,7.61,12606.0,United Kingdom
536880,20727,LUNCH BAG BLACK SKULL,2,2024-01-04 05:21:12,1.79,,Germany
542509,23298,SPACEBOY LUNCH BOX,17,2024-09-13 08:37:22,1.94,17282.0,Switzerland
541793,22745,POPPY'S PLAYHOUSE BEDROOM,22,2024-10-02 09:32:30,2.3,,United Kingdom
541694,84978,HANGING HEART JAR T-LIGHT HOLDER,9,2025-04-26 19:54:55,1.55,14355.0,United Kingdom
540733,22745,POPPY'S PLAYHOUSE BEDROOM,5,2024-03-22 03:51:25,2.14,12481.0,Sweden
538956,22632,HAND WARMER RED POLKA DOT,20,2025-12-03 00:44:56,1.85,15567.0,Australia
540405,22961,JAM MAKING SET PRINTED,2,2024-06-29 03:34:50,1.54,,Switzerland
541496,22632,HAND WARMER RED POLKA DOT,12,2024-01-28 06:55:28,1.92,14179.0,United Kingdom
538303,23203,JUMBO BAG DOILEY PATTERNS,-1,2025-06-19 11:20:49,2.25,13333.0,Canada
540048,21770,TOADSTOOL LED NIGHT LIGHT,4,2025-09-05 14:16:29,4.33,16891.0,United Kingdom
542660,20728,LUNCH BAG CARS BLUE,10,2025-01-19 02:39:17,1.68,16223.0,EIRE
542529,22752,SET 7 BABUSHKA NESTING BOXES,6,2025-05-17 18:27:07,7.56,13750.0,Belgium
541000,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2025-09-24 07:51:18,1.35,,Netherlands
541561,20725,LUNCH BAG RED RETROSPOT,7,2025-04-09 07:42:00,1.68,16276.0,United Kingdom
542977,84978,HANGING HEART JAR T-LIGHT HOLDER,20,2025-03-19 07:59:48,1.49,,United Kingdom
542719,22960,JAM MAKING SET WITH JARS,17,2024-11-08 17:27:00,3.93,13271.0,Spain
538058,23203,JUMBO BAG DOILEY PATTERNS,12,2025-08-15 07:10:50,2.02,16681.0,Italy
538264,20728,LUNCH BAG CARS BLUE,23,2025-02-13 19:28:31,1.6,17708.0,United Kingdom
539705,23355,HOT WATER BOTTLE KEEP CALM,19,2025-05-26 04:14:51,4.67,,France
537794,22193,RED DINER WALL CLOCK,5,2024-11-23 01:49:53,9.24,16244.0,Japan
539298,22752,SET 7 BABUSHKA NESTING BOXES,17,2025-07-18 11:58:58,8.01,13905.0,Spain
543039,85099B,JUMBO BAG RED RETROSPOT,19,2024-01-12 01:28:34,2.02,13502.0,United Kingdom
541793,23203,JUMBO BAG DOILEY PATTERNS,21,2024-08-05 01:07:27,1.91,,Japan
541586,22383,LUNCH BAG SUKI DESIGN,15,2024-02-19 16:46:23,1.75,12986.0,Singapore
539452,22961,JAM MAKING SET PRINTED,17,2024-03-05 16:15:49,1.46,13333.0,Norway
537487,22383,LUNCH BAG SUKI DESIGN,14,2025-05-17 01:11:01,1.5,18207.0,Italy
537314,22632,HAND WARMER RED POLKA DOT,15,2025-11-10 16:52:34,1.75,16424.0,Spain
542211,71053,WHITE METAL LANTERN,3,2024-09-26 05:24:30,3.7,18194.0,Belgium
